timestamp,coin,symbol,price_usd
2026-05-23 15:09:49.851307+00:00,bitcoin,BTC,75487.0
2026-05-23 15:10:49.848666+00:00,ethereum,ETH,2063.25
2026-05-23 15:10:49.848666+00:00,solana,SOL,84.31
2026-05-23 15:10:49.848666+00:00,bitcoin,BTC,75502.0
2026-05-23 15:11:49.868055+00:00,ethereum,ETH,2063.65
2026-05-23 15:11:49.868055+00:00,solana,SOL,84.35
2026-05-23 15:11:49.868055+00:00,bitcoin,BTC,75522.0
2026-05-23 15:13:52.348859+00:00,solana,SOL,84.28
2026-05-23 15:13:52.348859+00:00,bitcoin,BTC,75526.0
2026-05-23 15:13:52.348859+00:00,ethereum,ETH,2064.49
2026-05-23 15:14:00.847964+00:00,bitcoin,BTC,75526.0
2026-05-23 15:14:00.847964+00:00,ethereum,ETH,2064.49
2026-05-23 15:14:00.847964+00:00,solana,SOL,84.28
2026-05-23 15:14:23.611507+00:00,bitcoin,BTC,75526.0
2026-05-23 15:14:23.611507+00:00,ethereum,ETH,2064.49
2026-05-23 15:14:23.611507+00:00,solana,SOL,84.28
2026-05-23 15:14:31.847066+00:00,ethereum,ETH,2064.49
2026-05-23 15:14:31.847066+00:00,solana,SOL,84.28
2026-05-23 15:14:31.847066+00:00,bitcoin,BTC,75526.0
2026-05-23 15:14:53.607465+00:00,solana,SOL,84.34
2026-05-23 15:14:53.607465+00:00,bitcoin,BTC,75535.0
2026-05-23 15:14:53.607465+00:00,ethereum,ETH,2065.22
2026-05-23 15:15:01.850543+00:00,bitcoin,BTC,75535.0
2026-05-23 15:15:01.850543+00:00,ethereum,ETH,2065.22
2026-05-23 15:15:01.850543+00:00,solana,SOL,84.34
2026-05-23 15:15:23.599752+00:00,ethereum,ETH,2065.22
2026-05-23 15:15:23.599752+00:00,bitcoin,BTC,75535.0
2026-05-23 15:15:23.599752+00:00,solana,SOL,84.34
2026-05-23 15:15:31.843691+00:00,ethereum,ETH,2065.22
2026-05-23 15:15:31.843691+00:00,bitcoin,BTC,75535.0
2026-05-23 15:15:31.843691+00:00,solana,SOL,84.34
