source,target,weight,shared_repositories
ShaharNaveh,rhshadrach,1,pandas-dev/pandas
ShaharNaveh,simonjayhawkins,1,pandas-dev/pandas
ShaharNaveh,sinhrks,1,pandas-dev/pandas
ShaharNaveh,toobaz,1,pandas-dev/pandas
ShaharNaveh,topper-123,1,pandas-dev/pandas
ShaharNaveh,tuhinsharma121,1,pandas-dev/pandas
ShaharNaveh,twoertwein,1,pandas-dev/pandas
ShaharNaveh,wesm,1,pandas-dev/pandas
SimonSapin,ThiefMaster,1,pallets/flask
SimonSapin,ThomasWaldmann,1,pallets/flask
SimonSapin,Winnetou,1,pallets/flask
SimonSapin,adambyrtek,1,pallets/flask
SimonSapin,akavlie,1,pallets/flask
SimonSapin,alexpantyukhin,1,pallets/flask
SimonSapin,antsar,1,pallets/flask
SimonSapin,aqt01,1,pallets/flask
SimonSapin,cvrebert,1,pallets/flask
SimonSapin,dag,1,pallets/flask
SimonSapin,davidism,1,pallets/flask
SimonSapin,dawranliou,1,pallets/flask
SimonSapin,defuz,1,pallets/flask
SimonSapin,dependabot-preview[bot],1,pallets/flask
SimonSapin,dependabot[bot],1,pallets/flask
SimonSapin,florentx,1,pallets/flask
SimonSapin,flying-sheep,1,pallets/flask
SimonSapin,garenchan,1,pallets/flask
SimonSapin,greyli,1,pallets/flask
SimonSapin,jab,1,pallets/flask
SimonSapin,jeffwidman,1,pallets/flask
SimonSapin,kennethreitz,1,pallets/flask
SimonSapin,keyan,1,pallets/flask
SimonSapin,lepture,1,pallets/flask
SimonSapin,lord63,1,pallets/flask
SimonSapin,methane,1,pallets/flask
SimonSapin,miguelgrinberg,1,pallets/flask
SimonSapin,mitsuhiko,1,pallets/flask
SimonSapin,pgjones,1,pallets/flask
SimonSapin,plaes,1,pallets/flask
SimonSapin,pre-commit-ci[bot],1,pallets/flask
SimonSapin,rduplain,1,pallets/flask
SimonSapin,s3rvac,1,pallets/flask
SimonSapin,tullyrankin,1,pallets/flask
SimonSapin,untitaker,1,pallets/flask
SimonSapin,vtbassmatt,1,pallets/flask
SimonSapin,wgwz,1,pallets/flask
SimonSapin,yuxiaoy1,1,pallets/flask
SmileyChris,aaugustin,1,django/django
SmileyChris,adamchainz,1,django/django
SmileyChris,adrianholovaty,1,django/django
SmileyChris,akaariai,1,django/django
SmileyChris,alex,1,django/django
SmileyChris,andrewgodwin,1,django/django
SmileyChris,apollo13,1,django/django
SmileyChris,atombrella,1,django/django
SmileyChris,bmispelon,1,django/django
SmileyChris,brosner,1,django/django
SmileyChris,carljm,1,django/django
SmileyChris,carltongibson,1,django/django
SmileyChris,charettes,1,django/django
SmileyChris,cjerdonek,1,django/django
SmileyChris,claudep,1,django/django
SmileyChris,felixxm,1,django/django
SmileyChris,freakboy3742,1,django/django
SmileyChris,gdub,1,django/django
SmileyChris,hramezani,1,django/django
SmileyChris,jacobian,1,django/django
SmileyChris,jacobtylerwalls,1,django/django
SmileyChris,jbronn,1,django/django
SmileyChris,jdufresne,1,django/django
SmileyChris,jezdez,1,django/django
SmileyChris,jphalip,1,django/django
SmileyChris,kmtracey,1,django/django
SmileyChris,loic,1,django/django
SmileyChris,malcolmt,1,django/django
SmileyChris,mjtamlyn,1,django/django
SmileyChris,nessita,1,django/django
SmileyChris,ngnpope,1,django/django
SmileyChris,ramiro,1,django/django
SmileyChris,sarahboyce,1,django/django
SmileyChris,sir-sigurd,1,django/django
SmileyChris,smithdc1,1,django/django
SmileyChris,spookylukey,1,django/django
SmileyChris,timgraham,1,django/django
SmileyChris,ubernostrum,1,django/django
Smlep,SwftAlpc,1,fastapi/fastapi
Smlep,Vincy1230,1,fastapi/fastapi
Smlep,Xewus,1,fastapi/fastapi
Smlep,YuriiMotov,1,fastapi/fastapi
Smlep,Zhongheng-Cheng,1,fastapi/fastapi
Smlep,alejsdev,1,fastapi/fastapi
Smlep,alv2017,1,fastapi/fastapi
Smlep,barsi,1,fastapi/fastapi
Smlep,ceb10n,1,fastapi/fastapi
Smlep,dependabot[bot],1,fastapi/fastapi
Smlep,dmontagu,1,fastapi/fastapi
Smlep,estebanx64,1,fastapi/fastapi
Smlep,euri10,1,fastapi/fastapi
Smlep,github-actions[bot],1,fastapi/fastapi
Smlep,handabaldeep,1,fastapi/fastapi
Smlep,hard-coders,1,fastapi/fastapi
Smlep,hasansezertasan,1,fastapi/fastapi
Smlep,jaystone776,1,fastapi/fastapi
Smlep,kantandane,1,fastapi/fastapi
Smlep,marcelomarkus,1,fastapi/fastapi
Smlep,mariacamilagl,1,fastapi/fastapi
Smlep,nilslindemann,1,fastapi/fastapi
Smlep,pablocm83,1,fastapi/fastapi
Smlep,pre-commit-ci[bot],1,fastapi/fastapi
Smlep,svlandeg,1,fastapi/fastapi
Smlep,tiangolo,1,fastapi/fastapi
Smlep,tokusumi,1,fastapi/fastapi
Smlep,valentinDruzhinin,1,fastapi/fastapi
Smlep,vishnuvskvkl,1,fastapi/fastapi
Smlep,waynerv,1,fastapi/fastapi
Smlep,xzmeng,1,fastapi/fastapi
Smlep,yychanlee,1,fastapi/fastapi
Smlep,zhaohan-dong,1,fastapi/fastapi
StefanieSenger,TomDLT,1,scikit-learn/scikit-learn
StefanieSenger,adrinjalali,1,scikit-learn/scikit-learn
StefanieSenger,agramfort,1,scikit-learn/scikit-learn
StefanieSenger,ahojnnes,1,scikit-learn/scikit-learn
StefanieSenger,alextp,1,scikit-learn/scikit-learn
StefanieSenger,amueller,1,scikit-learn/scikit-learn
StefanieSenger,arjoly,1,scikit-learn/scikit-learn
StefanieSenger,betatim,1,scikit-learn/scikit-learn
StefanieSenger,clayw,1,scikit-learn/scikit-learn
StefanieSenger,cmarmo,1,scikit-learn/scikit-learn
StefanieSenger,glemaitre,1,scikit-learn/scikit-learn
StefanieSenger,glouppe,1,scikit-learn/scikit-learn
StefanieSenger,jakevdp,1,scikit-learn/scikit-learn
StefanieSenger,jeremiedbb,1,scikit-learn/scikit-learn
StefanieSenger,jjerphan,1,scikit-learn/scikit-learn
StefanieSenger,jnothman,1,scikit-learn/scikit-learn
StefanieSenger,kemaleren,1,scikit-learn/scikit-learn
StefanieSenger,larsmans,1,scikit-learn/scikit-learn
StefanieSenger,lesteve,1,scikit-learn/scikit-learn
StefanieSenger,lorentzenchr,1,scikit-learn/scikit-learn
StefanieSenger,lucyleeow,1,scikit-learn/scikit-learn
StefanieSenger,mblondel,1,scikit-learn/scikit-learn
StefanieSenger,oddskool,1,scikit-learn/scikit-learn
StefanieSenger,ogrisel,1,scikit-learn/scikit-learn
StefanieSenger,pprett,1,scikit-learn/scikit-learn
StefanieSenger,qinhanmin2014,1,scikit-learn/scikit-learn
StefanieSenger,raghavrv,1,scikit-learn/scikit-learn
StefanieSenger,robertlayton,1,scikit-learn/scikit-learn
StefanieSenger,rth,1,scikit-learn/scikit-learn
StefanieSenger,scikit-learn-bot,1,scikit-learn/scikit-learn
StefanieSenger,thomasjpfan,1,scikit-learn/scikit-learn
StefanieSenger,vene,1,scikit-learn/scikit-learn
StefanieSenger,weilinear,1,scikit-learn/scikit-learn
SwftAlpc,Vincy1230,1,fastapi/fastapi
SwftAlpc,Xewus,1,fastapi/fastapi
SwftAlpc,YuriiMotov,1,fastapi/fastapi
SwftAlpc,Zhongheng-Cheng,1,fastapi/fastapi
SwftAlpc,alejsdev,1,fastapi/fastapi
SwftAlpc,alv2017,1,fastapi/fastapi
SwftAlpc,barsi,1,fastapi/fastapi
SwftAlpc,ceb10n,1,fastapi/fastapi
SwftAlpc,dependabot[bot],1,fastapi/fastapi
SwftAlpc,dmontagu,1,fastapi/fastapi
SwftAlpc,estebanx64,1,fastapi/fastapi
SwftAlpc,euri10,1,fastapi/fastapi
SwftAlpc,github-actions[bot],1,fastapi/fastapi
SwftAlpc,handabaldeep,1,fastapi/fastapi
SwftAlpc,hard-coders,1,fastapi/fastapi
SwftAlpc,hasansezertasan,1,fastapi/fastapi
SwftAlpc,jaystone776,1,fastapi/fastapi
SwftAlpc,kantandane,1,fastapi/fastapi
SwftAlpc,marcelomarkus,1,fastapi/fastapi
SwftAlpc,mariacamilagl,1,fastapi/fastapi
SwftAlpc,nilslindemann,1,fastapi/fastapi
SwftAlpc,pablocm83,1,fastapi/fastapi
SwftAlpc,pre-commit-ci[bot],1,fastapi/fastapi
SwftAlpc,svlandeg,1,fastapi/fastapi
SwftAlpc,tiangolo,1,fastapi/fastapi
SwftAlpc,tokusumi,1,fastapi/fastapi
SwftAlpc,valentinDruzhinin,1,fastapi/fastapi
SwftAlpc,vishnuvskvkl,1,fastapi/fastapi
SwftAlpc,waynerv,1,fastapi/fastapi
SwftAlpc,xzmeng,1,fastapi/fastapi
SwftAlpc,yychanlee,1,fastapi/fastapi
SwftAlpc,zhaohan-dong,1,fastapi/fastapi
ThiefMaster,ThomasWaldmann,1,pallets/flask
ThiefMaster,Winnetou,1,pallets/flask
ThiefMaster,adambyrtek,1,pallets/flask
ThiefMaster,akavlie,1,pallets/flask
ThiefMaster,alexpantyukhin,1,pallets/flask
ThiefMaster,antsar,1,pallets/flask
ThiefMaster,aqt01,1,pallets/flask
ThiefMaster,cvrebert,1,pallets/flask
ThiefMaster,dag,1,pallets/flask
ThiefMaster,davidism,1,pallets/flask
ThiefMaster,dawranliou,1,pallets/flask
ThiefMaster,defuz,1,pallets/flask
ThiefMaster,dependabot-preview[bot],1,pallets/flask
ThiefMaster,dependabot[bot],1,pallets/flask
ThiefMaster,florentx,1,pallets/flask
ThiefMaster,flying-sheep,1,pallets/flask
ThiefMaster,garenchan,1,pallets/flask
ThiefMaster,greyli,1,pallets/flask
ThiefMaster,jab,1,pallets/flask
ThiefMaster,jeffwidman,1,pallets/flask
ThiefMaster,kennethreitz,1,pallets/flask
