developer,repository,contributions,github_profile_url
lesteve,scikit-learn/scikit-learn,644,https://github.com/lesteve
arjoly,scikit-learn/scikit-learn,580,https://github.com/arjoly
jeremiedbb,scikit-learn/scikit-learn,494,https://github.com/jeremiedbb
scikit-learn-bot,scikit-learn/scikit-learn,455,https://github.com/scikit-learn-bot
jakevdp,scikit-learn/scikit-learn,343,https://github.com/jakevdp
MechCoder,scikit-learn/scikit-learn,313,https://github.com/MechCoder
adrinjalali,scikit-learn/scikit-learn,300,https://github.com/adrinjalali
qinhanmin2014,scikit-learn/scikit-learn,264,https://github.com/qinhanmin2014
NicolasHug,scikit-learn/scikit-learn,250,https://github.com/NicolasHug
lucyleeow,scikit-learn/scikit-learn,248,https://github.com/lucyleeow
NelleV,scikit-learn/scikit-learn,238,https://github.com/NelleV
lorentzenchr,scikit-learn/scikit-learn,236,https://github.com/lorentzenchr
robertlayton,scikit-learn/scikit-learn,233,https://github.com/robertlayton
raghavrv,scikit-learn/scikit-learn,140,https://github.com/raghavrv
ahojnnes,scikit-learn/scikit-learn,137,https://github.com/ahojnnes
rth,scikit-learn/scikit-learn,132,https://github.com/rth
jjerphan,scikit-learn/scikit-learn,132,https://github.com/jjerphan
StefanieSenger,scikit-learn/scikit-learn,114,https://github.com/StefanieSenger
TomDLT,scikit-learn/scikit-learn,113,https://github.com/TomDLT
Charlie-XIAO,scikit-learn/scikit-learn,111,https://github.com/Charlie-XIAO
weilinear,scikit-learn/scikit-learn,109,https://github.com/weilinear
betatim,scikit-learn/scikit-learn,108,https://github.com/betatim
cmarmo,scikit-learn/scikit-learn,105,https://github.com/cmarmo
clayw,scikit-learn/scikit-learn,103,https://github.com/clayw
kemaleren,scikit-learn/scikit-learn,100,https://github.com/kemaleren
oddskool,scikit-learn/scikit-learn,95,https://github.com/oddskool
AlexanderFabisch,scikit-learn/scikit-learn,91,https://github.com/AlexanderFabisch
alextp,scikit-learn/scikit-learn,87,https://github.com/alextp
ArturoAmorQ,scikit-learn/scikit-learn,87,https://github.com/ArturoAmorQ
